번호,지역,상호,주소,기간,상표,셀프여부,휘발유,경유,year,month,week,high_class
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 01월 1주,GS칼텍스,셀프,1393.29,1293.29,2019,1,1,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 01월 2주,GS칼텍스,셀프,1354.71,1254.71,2019,1,2,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 01월 3주,GS칼텍스,셀프,1349.0,1249.0,2019,1,3,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 01월 4주,GS칼텍스,셀프,1340.43,1240.43,2019,1,4,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 01월 5주,GS칼텍스,셀프,1323.71,1224.71,2019,1,5,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 02월 1주,GS칼텍스,셀프,1319.0,1219.0,2019,2,1,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 02월 2주,GS칼텍스,셀프,1319.0,1219.0,2019,2,2,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 02월 3주,GS칼텍스,셀프,1319.0,1219.0,2019,2,3,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 02월 4주,GS칼텍스,셀프,1316.14,1220.43,2019,2,4,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 03월 1주,GS칼텍스,셀프,1337.57,1237.57,2019,3,1,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 03월 2주,GS칼텍스,셀프,1349.0,1249.0,2019,3,2,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 03월 3주,GS칼텍스,셀프,1359.0,1259.0,2019,3,3,N
A0000011,서울 양천구,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),2019년 03월 4주,GS칼텍스,셀프,1380.43,1280.43,2019,3,4,N
A0000015,서울 송파구,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),2019년 01월 1주,현대오일뱅크,셀프,1378.71,1273.29,2019,1,1,N
A0000015,서울 송파구,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),2019년 01월 2주,현대오일뱅크,셀프,1349.0,1249.0,2019,1,2,N
A0000015,서울 송파구,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),2019년 01월 3주,현대오일뱅크,셀프,1349.0,1249.0,2019,1,3,N
A0000015,서울 송파구,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),2019년 01월 4주,현대오일뱅크,셀프,1349.0,1249.0,2019,1,4,N
A0000015,서울 송파구,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),2019년 01월 5주,현대오일뱅크,셀프,1348.14,1246.86,2019,1,5,N
A0000015,서울 송파구,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),2019년 02월 1주,현대오일뱅크,셀프,1347.0,1244.0,2019,2,1,N
A0000015,서울 송파구,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),2019년 02월 2주,현대오일뱅크,셀프,1342.71,1244.0,2019,2,2,N
